#REF, https://ui.adsabs.harvard.edu/abs/2011MNRAS.413.2570R/abstract
#AUTHOR, Robotham & Driver
#YEAR, 2011
#REDSHIFT, 0.05
#COLUMN1, log SFR [M_sun yr^-1]
#COLUMN2, log Phi [dex^-1 Mpc^-3]
#COLUMN3, -sigma
#COLUMN4, +sigma
#NOTE, SFRF converted by Katsianis et al. (2017) from NUV luminosity function of Robotham & Driver 2011 observed by GALEX and SDSS. (h, Omega_m, Omega_l) = (0.7, 0.3, 0.7)
#IMF, Chabrier
1.314, -5.155, inf, 0.301
1.062, -5.398, inf, 0.301
0.937, -4.310, 0.146, 0.109
0.811, -3.833, 0.053, 0.048
0.685, -3.487, 0.039, 0.036
0.559, -3.131, 0.025, 0.024
0.433, -2.908, 0.019, 0.018
0.307, -2.674, 0.015, 0.014
0.181, -2.508, 0.012, 0.012
0.046, -2.346, 0.011, 0.011
-0.071, -2.249, 0.011, 0.011
-0.197, -2.140, 0.011, 0.011
-0.322, -2.079, 0.012, 0.012
-0.449, -1.981, 0.013, 0.013
-0.573, -1.916, 0.015, 0.014
-0.701, -1.872, 0.016, 0.015
-0.827, -1.827, 0.019, 0.018
-0.951, -1.725, 0.020, 0.019
-1.076, -1.793, 0.034, 0.031
-1.201, -1.712, 0.028, 0.026
-1.328, -1.677, 0.033, 0.031
-1.456, -1.669, 0.040, 0.037
-1.585, -1.715, 0.059, 0.052
-1.699, -1.962, 0.140, 0.105
-1.824, -1.617, 0.155, 0.114